player,year,team,age,att,yac_att_stab,brk_rate_stab,ol_adj_ybc_stab,LINX_stab
Kenyan Drake,2022,BAL,28,109,1.5365,0.0351,-0.0072,-1.4062
Khalil Herbert,2022,CHI,24,129,2.108,0.0656,0.33,1.1715
Latavius Murray,2022,DEN,32,160,1.776,0.0468,0.0918,-0.4265
Leonard Fournette,2022,TAM,27,189,1.7999,0.0414,-0.0927,-0.8238
Michael Carter,2022,NYJ,23,114,1.7238,0.0646,-0.2059,-0.763
Miles Sanders,2022,PHI,25,259,1.8196,0.0569,0.1067,-0.0974
Najee Harris,2022,PIT,24,272,1.8638,0.077,-0.1077,-0.0059
Nick Chubb,2022,CLE,27,302,2.3764,0.0875,0.1897,1.9671
Rachaad White,2022,TAM,23,129,1.6316,0.0455,0.0843,-0.8055
Raheem Mostert,2022,MIA,30,181,1.9646,0.0716,0.1363,0.5865
Rhamondre Stevenson,2022,NWE,24,210,2.0925,0.0933,-0.0496,0.9618
Saquon Barkley,2022,NYG,25,295,1.864,0.0426,-0.0609,-0.5889
Tony Pollard,2022,DAL,25,193,2.3352,0.0572,0.1257,1.1565
Travis Etienne,2022,JAX,23,220,1.8043,0.0595,0.0998,-0.0974
Tyler Allgeier,2022,ATL,22,210,1.9434,0.039,-0.0093,-0.3762
AJ Dillon,2023,GNB,25,178,1.8118,0.0472,-0.2184,-1.0841
Aaron Jones,2023,GNB,29,142,2.1594,0.0706,0.198,0.8036
Alexander Mattison,2023,MIN,25,180,1.8326,0.052,-0.1263,-0.8167
Alvin Kamara,2023,NOR,28,180,1.7546,0.0516,0.16,-0.6181
Austin Ekeler,2023,LAC,28,179,1.8393,0.0511,0.0973,-0.4987
Bijan Robinson,2023,ATL,21,214,1.917,0.0705,0.2711,0.2883
Breece Hall,2023,NYJ,22,223,2.0795,0.0785,0.0614,0.5468
Brian Robinson Jr.,2023,WAS,24,178,1.87,0.0712,0.0159,-0.1808
Christian McCaffrey,2023,SFO,27,272,2.0579,0.0584,0.1699,0.2908
Chuba Hubbard,2023,CAR,24,238,1.867,0.0693,0.0656,-0.1516
D'Andre Swift,2023,PHI,24,229,1.807,0.0816,0.1065,-0.0301
D'Onta Foreman,2023,CHI,27,109,1.8554,0.0638,-0.0757,-0.4787
Dameon Pierce,2023,HOU,23,145,1.9214,0.0897,-0.2796,-0.1398
David Montgomery,2023,DET,26,219,2.0942,0.0798,-0.1527,0.3043
De'Von Achane,2023,MIA,22,103,2.3157,0.0898,0.609,2.1225
Derrick Henry,2023,TEN,29,280,2.1512,0.0819,-0.0642,0.6115
Devin Singletary,2023,HOU,26,216,1.7525,0.0557,0.2376,-0.4401
