year,player,team,age,att,yac_att,brk_rate,ol_adj_ybc,z_yac,z_brk,z_ol,LINX,ypc_above_team
2021,Darrell Henderson,LAR,24,149,1.9195,0.0201,0.3826,-0.2569,-1.7556,1.0496,-0.3799,0.4207
2021,Clyde Edwards-Helaire,KAN,22,119,1.7479,0.0588,0.0847,-0.6913,-0.3587,0.1239,-0.3877,0.096
2021,David Montgomery,CHI,24,225,1.8533,0.0711,-0.248,-0.4244,0.0852,-0.91,-0.3929,-0.1562
2021,Cordarrelle Patterson,ATL,30,153,1.915,0.0458,-0.0023,-0.2682,-0.828,-0.1465,-0.4057,0.1275
2021,Chuba Hubbard,CAR,22,172,1.8895,0.0523,-0.1741,-0.3328,-0.5934,-0.6804,-0.4979,-0.2134
2021,Mike Davis,ATL,28,138,1.6739,0.0652,-0.1555,-0.8786,-0.1277,-0.6226,-0.5893,-0.2668
2021,D'Andre Swift,DET,22,151,1.5364,0.0596,0.0854,-1.2267,-0.3299,0.126,-0.6195,-0.0976
2021,Jamaal Williams,DET,26,153,1.4314,0.0654,0.0324,-1.4925,-0.1205,-0.0387,-0.7174,-0.2556
2021,Rex Burkhead,HOU,31,122,1.7787,0.0164,0.1643,-0.6133,-1.8892,0.3712,-0.7499,0.3355
2021,Ezekiel Elliott,DAL,26,237,1.7257,0.038,-0.1522,-0.7475,-1.1095,-0.6123,-0.8223,-0.4487
2021,Devonta Freeman,BAL,29,133,1.5414,0.0226,0.2723,-1.214,-1.6654,0.7068,-0.8692,0.1283
2021,Myles Gaskin,MIA,24,173,1.4335,0.0405,0.1743,-1.4872,-1.0193,0.4023,-0.8744,-0.0813
2021,Devontae Booker,NYG,29,145,1.5793,0.0138,0.3296,-1.1181,-1.983,0.8849,-0.8768,0.2071
2021,Alex Collins,SEA,27,108,1.6019,0.0556,-0.4264,-1.0609,-0.4742,-1.4644,-0.9858,-1.1742
2021,Saquon Barkley,NYG,24,162,1.7222,0.0247,-0.2425,-0.7563,-1.5896,-0.8929,-1.0404,-0.222
2021,Darrel Williams,KAN,26,144,1.5,0.0278,-0.137,-1.3188,-1.4777,-0.5651,-1.178,-0.3735
2022,Khalil Herbert,CHI,24,129,2.5349,0.0698,0.7677,1.9957,0.5068,3.1029,1.8258,1.183
2022,Nick Chubb,CLE,27,302,2.3013,0.0927,0.3067,1.311,1.2854,1.2389,1.2853,0.4227
2022,Dameon Pierce,HOU,22,220,2.3,0.1227,-0.0258,1.3072,2.3054,-0.1055,1.2535,0.473
2022,Tony Pollard,DAL,25,193,2.6062,0.057,0.1374,2.2047,0.0717,0.5544,1.1522,0.7934
2022,Josh Jacobs,LVR,24,340,2.4147,0.0912,-0.0238,1.6434,1.2344,-0.0974,1.0855,0.0761
2022,Jonathan Taylor,IND,23,192,1.9792,0.125,0.123,0.3669,2.3836,0.4962,1.0042,0.2828
2022,Derrick Henry,TEN,28,349,2.2894,0.1003,-0.0776,1.2761,1.5438,-0.3149,0.9587,-0.0151
2022,Rhamondre Stevenson,NWE,24,210,2.0905,0.1143,-0.0166,0.6931,2.0198,-0.0683,0.9008,0.2546
2022,Aaron Jones,GNB,28,213,2.2347,0.061,0.3135,1.1158,0.2077,1.2664,0.881,0.558
2022,Raheem Mostert,MIA,30,181,2.0939,0.0884,0.157,0.7031,1.1392,0.6336,0.8166,0.3847
2022,Cam Akers,LAR,23,188,2.1649,0.0691,-0.2403,0.9112,0.483,-0.9728,0.3118,0.0871
2022,David Montgomery,CHI,25,201,1.9701,0.0995,-0.3492,0.3402,1.5166,-1.4131,0.2548,-0.4986
2022,Travis Etienne,JAX,23,220,1.7591,0.0636,0.1902,-0.2782,0.296,0.7679,0.1556,0.3755
2022,Austin Ekeler,LAC,27,204,1.8922,0.0245,0.352,0.1119,-1.0333,1.4221,0.0959,0.4618
2022,D'Onta Foreman,CAR,26,203,2.0148,0.0493,-0.1244,0.4712,-0.1901,-0.5042,0.029,-0.059
2022,Dalvin Cook,MIN,27,264,1.822,0.0455,0.1425,-0.0939,-0.3193,0.575,0.0057,0.2222
2022,Isiah Pacheco,KAN,23,170,1.7235,0.0235,0.4663,-0.3826,-1.0673,1.8842,-0.0213,0.4047
2022,Kenneth Walker III,SEA,22,228,1.8728,0.0526,-0.0533,0.055,-0.0779,-0.2167,-0.0528,-0.1833
2022,Alvin Kamara,NOR,27,223,2.0045,0.0314,-0.0281,0.4411,-0.7987,-0.1148,-0.0698,0.1236
2022,Tyler Allgeier,ATL,22,210,2.0286,0.0238,-0.0185,0.5117,-1.0571,-0.076,-0.1059,0.0673
2022,Saquon Barkley,NYG,25,295,1.9085,0.0407,-0.0452,0.1597,-0.4825,-0.1839,-0.1189,0.0448
2022,Cordarrelle Patterson,ATL,31,144,1.9514,0.0278,-0.0435,0.2854,-0.9211,-0.1771,-0.1922,-0.0348
2022,James Conner,ARI,27,183,1.847,0.0273,0.0876,-0.0206,-0.9381,0.353,-0.2024,0.1656
2022,Latavius Murray,DEN,32,160,1.6688,0.0313,0.27,-0.5429,-0.8021,1.0905,-0.2123,0.1976
2022,Najee Harris,PIT,24,272,1.6801,0.0772,-0.2493,-0.5098,0.7584,-1.0092,-0.2542,-0.2865
2022,Miles Sanders,PHI,25,259,1.668,0.0502,0.0088,-0.5453,-0.1595,0.0344,-0.2846,0.1578
2022,Christian McCaffrey,SFO,26,159,1.7421,0.044,-0.0893,-0.3281,-0.3703,-0.3622,-0.3493,-0.1809
2022,Brian Robinson Jr.,WAS,23,205,1.6585,0.039,0.0223,-0.5731,-0.5403,0.089,-0.3977,0.0087
2022,Kareem Hunt,CLE,27,123,1.9106,0.0488,-0.5473,0.1658,-0.2071,-2.2141,-0.541,-0.8221
2022,Damien Harris,NWE,25,106,1.4906,0.0472,-0.0106,-1.0652,-0.2615,-0.044,-0.5688,-0.3392
2022,Devin Singletary,BUF,25,177,1.5424,0.0508,-0.1489,-0.9134,-0.1391,-0.6032,-0.6036,-0.2457
2022,Jamaal Williams,DET,27,262,1.6794,0.0496,-0.3173,-0.5118,-0.1799,-1.2841,-0.6053,-0.3444
2022,Joe Mixon,CIN,26,210,1.4714,0.0381,0.006,-1.1215,-0.5709,0.0231,-0.6702,-0.1045
2022,AJ Dillon,GNB,24,186,1.7043,0.0323,-0.2792,-0.4389,-0.7681,-1.1301,-0.7104,-0.5651
2022,Antonio Gibson,WAS,24,149,1.4765,0.0336,-0.0191,-1.1066,-0.7239,-0.0784,-0.7347,-0.2146
