year,player,ngs_team,att,ryoe,ryoe_att
2024,Aaron Jones,MIN,255,42,0.17
2024,Bucky Irving,TB,207,186,0.94
2024,James Conner,AZ,236,110,0.48
2024,Rico Dowdle,DAL,235,60,0.26
2024,Tony Pollard,TEN,260,12,0.05
2024,Najee Harris,PIT,263,-3,-0.01
2024,Joe Mixon,HOU,245,80,0.33
2024,James Cook,BUF,207,167,0.82
2024,Chase Brown,CIN,229,67,0.3
2024,D'Andre Swift,CHI,253,-174,-0.69
2024,Alvin Kamara,NO,228,-35,-0.15
2024,Devon Achane,MIA,203,-96,-0.49
2024,J.K. Dobbins,LAC,195,115,0.6
2024,Breece Hall,NYJ,209,2,0.01
2024,Tyrone Tracy,NYG,192,-18,-0.1
2024,Rhamondre Stevenson,NE,207,35,0.18
2024,Brian Robinson,WAS,187,25,0.14
2024,Jordan Mason,SF,153,207,1.38
2024,David Montgomery,DET,185,-4,-0.02
2024,Tank Bigsby,JAX,168,124,0.74
2024,Kareem Hunt,KC,200,-112,-0.57
2024,Tyler Allgeier,ATL,137,84,0.61
2024,Rachaad White,TB,144,48,0.34
2024,Kenneth Walker,SEA,153,-16,-0.1
2024,Zach Charbonnet,SEA,135,73,0.56
2024,Jerome Ford,CLE,104,114,1.1
2024,Travis Etienne,JAX,150,-43,-0.29
2024,Antonio Gibson,NE,120,83,0.7
2024,Javonte Williams,DEN,139,-83,-0.6
2024,Jaylen Warren,PIT,120,-14,-0.11
2024,Emanuel Wilson,GB,103,74,0.73
2024,Jaleel McLaughlin,DEN,113,-41,-0.36
2024,Cam Akers,MIN,104,-6,-0.06
2024,Ray Davis,BUF,113,9,0.08
2024,Devin Singletary,NYG,113,-54,-0.48
2024,Alexander Mattison,LV,132,-77,-0.59
2024,Gus Edwards,LAC,101,-50,-0.5
2024,Braelon Allen,NYJ,92,-58,-0.64
2024,Nick Chubb,CLE,102,-25,-0.25
2025,James Cook,BUF,309,358,1.17
2025,Derrick Henry,BAL,307,338,1.11
2025,Jonathan Taylor,IND,323,195,0.61
2025,Bijan Robinson,ATL,287,257,0.91
2025,Devon Achane,MIA,238,242,1.03
2025,Kyren Williams,LAR,259,145,0.57
2025,Jahmyr Gibbs,DET,243,167,0.7
2025,Christian McCaffrey,SF,311,-166,-0.54
