player,season_pair,year_t,team_t,team_t1,same_team,age_t,LINX_t,LINX_t1,z_yac_t,z_brk_t,z_ol_t,ol_delta,ypc_above_t,ypc_above_t1
Brian Robinson Jr.,2022-2023,2022,WAS,WAS,1,23,-0.3977,0.1434,-0.5731,-0.5403,0.089,-0.0394,0.0087,-0.1404
Christian McCaffrey,2022-2023,2022,SFO,SFO,1,26,-0.3493,0.4097,-0.3281,-0.3703,-0.3622,0.406,-0.1809,0.3589
D'Onta Foreman,2022-2023,2022,CAR,CHI,0,26,0.029,-0.6981,0.4712,-0.1901,-0.5042,0.004,-0.059,-0.3424
Dameon Pierce,2022-2023,2022,HOU,HOU,1,22,1.2535,-0.8152,1.3072,2.3054,-0.1055,-0.7653,0.473,-0.7869
David Montgomery,2022-2023,2022,CHI,DET,0,25,0.2548,0.4078,0.3402,1.5166,-1.4131,0.2026,-0.4986,-0.18
Derrick Henry,2022-2023,2022,TEN,TEN,1,28,0.9587,0.2873,1.2761,1.5438,-0.3149,-0.0106,-0.0151,-0.0906
Devin Singletary,2022-2023,2022,BUF,HOU,0,25,-0.6036,-0.3289,-0.9134,-0.1391,-0.6032,0.6627,-0.2457,0.5016
Ezekiel Elliott,2022-2023,2022,DAL,NWE,0,27,-0.8005,-0.826,-0.9172,-0.5403,-0.9024,0.2699,-0.632,-0.2295
Isiah Pacheco,2022-2023,2022,KAN,KAN,1,23,-0.0213,0.079,-0.3826,-1.0673,1.8842,-0.2205,0.4047,0.4886
Jamaal Williams,2022-2023,2022,DET,NOR,0,27,-0.6053,-1.3723,-0.5118,-0.1799,-1.2841,-0.165,-0.3444,-0.6362
James Conner,2022-2023,2022,ARI,ARI,1,27,-0.2024,0.9122,-0.0206,-0.9381,0.353,0.0213,0.1656,0.236
Joe Mixon,2022-2023,2022,CIN,CIN,1,26,-0.6702,-0.8681,-1.1215,-0.5709,0.0231,0.1615,-0.1045,-0.0458
Jonathan Taylor,2022-2023,2022,IND,IND,1,23,1.0042,0.7907,0.3669,2.3836,0.4962,-0.5113,0.2828,0.0409
Josh Jacobs,2022-2023,2022,LVR,LVR,1,24,1.0855,-0.8835,1.6434,1.2344,-0.0974,-0.1024,0.0761,-0.4102
Kareem Hunt,2022-2023,2022,CLE,CLE,1,27,-0.541,-1.5781,0.1658,-0.2071,-2.2141,0.1675,-0.8221,-0.8742
Kenneth Walker III,2022-2023,2022,SEA,SEA,1,22,-0.0528,-0.1793,0.055,-0.0779,-0.2167,0.1103,-0.1833,-0.0308
Khalil Herbert,2022-2023,2022,CHI,CHI,1,24,1.8258,0.4675,1.9957,0.5068,3.1029,-0.781,1.183,0.3873
Miles Sanders,2022-2023,2022,PHI,CAR,0,25,-0.2846,-0.5053,-0.5453,-0.1595,0.0344,-0.2415,0.1578,-0.2732
Najee Harris,2022-2023,2022,PIT,PIT,1,24,-0.2542,0.7222,-0.5098,0.7584,-1.0092,-0.2045,-0.2865,-0.4437
Rachaad White,2022-2023,2022,TAM,TAM,1,23,-0.7753,-0.8697,-1.6626,-0.8123,0.8661,-0.0557,0.1427,0.2203
Raheem Mostert,2022-2023,2022,MIA,MIA,1,30,0.8166,0.1462,0.7031,1.1392,0.6336,-0.5474,0.3847,-0.6705
Rhamondre Stevenson,2022-2023,2022,NWE,NWE,1,24,0.9008,0.1708,0.6931,2.0198,-0.0683,0.0589,0.2546,0.2493
Saquon Barkley,2022-2023,2022,NYG,NYG,1,25,-0.1189,-0.1184,0.1597,-0.4825,-0.1839,0.1764,0.0448,0.3099
Tony Pollard,2022-2023,2022,DAL,DAL,1,25,1.1522,0.1584,2.2047,0.0717,0.5544,-0.0893,0.7934,0.1367
Travis Etienne,2022-2023,2022,JAX,JAX,1,23,0.1556,0.0785,-0.2782,0.296,0.7679,-0.0441,0.3755,0.2892
Tyler Allgeier,2022-2023,2022,ATL,ATL,1,22,-0.1059,-0.2093,0.5117,-1.0571,-0.076,-0.4388,0.0673,-0.4168
Aaron Jones,2023-2024,2023,GNB,MIN,0,29,0.5814,-0.3805,0.9013,0.1916,0.4733,-0.1629,0.5518,0.1876
Alexander Mattison,2023-2024,2023,MIN,LVR,0,25,-0.7649,-1.162,-0.5523,-1.2761,-0.5343,-0.1415,-0.148,-0.4188
Alvin Kamara,2023-2024,2023,NOR,NOR,1,28,-0.5473,-0.5308,-0.9457,-0.9483,0.6508,-0.0932,0.3326,0.2069
Bijan Robinson,2023-2024,2023,ATL,ATL,1,21,0.2346,0.4956,-0.0617,-0.0269,1.0819,-0.3482,0.4719,0.0934
Breece Hall,2023-2024,2023,NYJ,NYJ,1,22,0.5033,-0.3536,0.8126,0.419,0.0478,0.0601,0.3449,0.0101
Brian Robinson Jr.,2023-2024,2023,WAS,WAS,1,24,0.1434,-0.1461,0.0439,0.5578,-0.1747,-0.131,-0.1404,-0.247
Chuba Hubbard,2023-2024,2023,CAR,CAR,1,24,-0.0831,-0.0564,-0.2849,0.0115,0.1667,0.0128,0.1679,0.2391
D'Andre Swift,2023-2024,2023,PHI,CHI,0,24,0.0495,-0.911,-0.4277,0.6109,0.2345,-0.0161,0.1273,0.249
David Montgomery,2023-2024,2023,DET,DET,1,26,0.4078,0.0571,1.0567,0.1945,-0.5045,-0.6304,-0.18,-0.7522
De'Von Achane,2023-2024,2023,MIA,MIA,1,22,2.9855,-0.2941,3.228,1.6298,4.1759,-1.3915,2.2544,0.4599
Derrick Henry,2023-2024,2023,TEN,BAL,0,29,0.2873,1.7605,0.6177,0.3274,-0.3558,0.3658,-0.0906,0.344
Devin Singletary,2023-2024,2023,HOU,NYG,0,26,-0.3289,-0.2679,-0.8984,-0.7298,1.1771,-0.9917,0.5016,-0.2299
Gus Edwards,2023-2024,2023,BAL,LAC,0,28,-0.561,0.1557,-0.2832,-0.3075,-1.3651,-0.0553,-0.5684,-0.4451
Jahmyr Gibbs,2023-2024,2023,DET,DET,1,21,1.2349,0.9192,1.666,1.3108,0.3677,0.4034,0.3776,0.7066
James Conner,2023-2024,2023,ARI,ARI,1,28,0.9122,0.5864,0.7885,1.7361,0.1461,-0.2786,0.236,-0.3321
James Cook,2023-2024,2023,BUF,BUF,1,24,-0.1013,0.3406,0.2988,-1.0989,0.3758,-0.0016,0.3037,0.265
Javonte Williams,2023-2024,2023,DEN,DEN,1,23,-0.6879,-1.0746,-0.6061,-0.5998,-0.9409,0.0662,-0.543,-0.4347
Jaylen Warren,2023-2024,2023,PIT,PIT,1,25,2.0339,0.0872,1.3247,3.254,1.8466,-0.44,0.7593,0.202
Jerome Ford,2023-2024,2023,CLE,CLE,1,24,0.34,0.379,-0.3662,1.6682,0.0175,0.905,0.0667,1.3385
Joe Mixon,2023-2024,2023,CIN,HOU,0,27,-0.8681,-0.2396,-1.4609,-0.9483,0.2953,-0.1535,-0.0458,-0.2629
Jonathan Taylor,2023-2024,2023,IND,IND,1,24,0.7907,-0.4466,2.1472,0.3481,-1.1199,0.5967,0.0409,0.265
Josh Jacobs,2023-2024,2023,LVR,GNB,0,25,-0.8835,0.8438,-1.1584,-0.8302,-0.4525,-0.0102,-0.4102,-0.134
Kareem Hunt,2023-2024,2023,CLE,KAN,0,28,-1.5781,-1.103,-1.79,-1.66,-1.0983,0.3637,-0.8742,-0.0174
Kenneth Walker III,2023-2024,2023,SEA,SEA,1,23,-0.1793,-0.1737,-0.9867,0.8708,0.014,-0.307,-0.0308,-0.3667
Kyren Williams,2023-2024,2023,LAR,LAR,1,23,0.729,-0.1775,0.2405,0.8826,1.4239,-0.657,0.7857,0.0604
Najee Harris,2023-2024,2023,PIT,PIT,1,25,0.7222,-0.0268,1.4026,1.3758,-1.2867,0.3743,-0.4437,-0.0906
Rachaad White,2023-2024,2023,TAM,TAM,1,24,-0.8697,0.037,-1.3379,-1.1196,0.2732,-0.9885,0.2203,-0.8378
Rhamondre Stevenson,2023-2024,2023,NWE,NWE,1,25,0.1708,-0.1154,0.4028,-0.0151,-0.0235,-0.0382,0.2493,-0.1332
Saquon Barkley,2023-2024,2023,NYG,PHI,0,26,-0.1184,-0.1075,0.0654,-0.6619,0.2029,0.3251,0.3099,0.5489
Tony Pollard,2023-2024,2023,DAL,TEN,0,26,0.1584,0.2181,0.2705,0.1296,-0.0087,0.032,0.1367,0.0764
Travis Etienne,2023-2024,2023,JAX,JAX,1,24,0.0785,-0.9935,-0.8471,1.3315,0.2408,-0.1366,0.2892,-0.4714
Tyler Allgeier,2023-2024,2023,ATL,ATL,1,23,-0.2093,0.2966,0.066,0.2831,-1.2956,0.293,-0.4168,0.0047
Zach Charbonnet,2023-2024,2023,SEA,SEA,1,22,0.0699,0.3428,0.0196,0.6375,-0.5208,0.1618,0.1146,0.103
Aaron Jones,2024-2025,2024,MIN,MIN,1,30,-0.3805,-0.4814,-0.2621,-0.9679,0.1113,0.0811,0.1876,-0.1557
Alvin Kamara,2024-2025,2024,NOR,NOR,1,29,-0.5308,-0.6836,-1.1603,-0.4452,0.4998,0.0121,0.2069,-0.1246
Bijan Robinson,2024-2025,2024,ATL,ATL,1,22,0.4956,0.6976,0.7842,0.2581,0.261,0.127,0.0934,0.4756
Breece Hall,2024-2025,2024,NYJ,NYJ,1,23,-0.3536,-0.3579,-0.0481,-1.329,0.2671,-0.0797,0.0101,-0.0557
Bucky Irving,2024-2025,2024,TAM,TAM,1,22,0.8195,-1.018,1.6812,-0.4076,0.7408,-0.8791,0.3255,-0.3625
Chase Brown,2024-2025,2024,CIN,CIN,1,24,-0.1984,0.2032,-1.3322,1.187,0.1799,-0.0637,0.2567,0.0569
Chuba Hubbard,2024-2025,2024,CAR,CAR,1,25,-0.0564,-1.1328,0.0492,-0.4828,0.2654,-0.4574,0.2391,-0.4858
D'Andre Swift,2024-2025,2024,CHI,CHI,1,25,-0.911,-0.2366,-1.1369,-1.5471,0.259,0.0015,0.249,0.0694
David Montgomery,2024-2025,2024,DET,DET,1,27,0.0571,-0.742,0.5342,1.2735,-2.2613,0.1704,-0.7522,-0.2792
De'Von Achane,2024-2025,2024,MIA,MIA,1,23,-0.2941,1.9192,-0.2036,-1.2914,0.7397,0.1714,0.4599,0.8125
Derrick Henry,2024-2025,2024,BAL,BAL,1,30,1.7605,0.17,2.0227,2.2701,0.6773,-0.3263,0.344,-0.0552
