year,player,team,age,att,yac_att,brk_rate,ybc_att,ol_adj_ybc,ypc_above_team
2021,Alexander Mattison,MIN,23,134,1.9776,0.1045,1.6866,-0.6757,-0.6559
2021,D'Onta Foreman,TEN,25,133,2.2481,0.0827,2.0075,-0.1995,-0.1088
2021,Devonta Freeman,BAL,29,133,1.5414,0.0226,2.7895,0.2723,0.1283
2021,Rhamondre Stevenson,NWE,23,133,2.6767,0.1203,1.8797,-0.2747,0.0564
2021,Tony Pollard,DAL,24,130,2.4692,0.0538,3.0615,0.4072,0.8542
2021,Rex Burkhead,HOU,31,122,1.7787,0.0164,1.7213,0.1643,0.3355
2021,Clyde Edwards-Helaire,KAN,22,119,1.7479,0.0588,2.5966,0.0847,0.096
2021,Latavius Murray,BAL,31,119,1.7647,0.084,2.4454,-0.0718,0.0076
2021,Rashaad Penny,SEA,25,119,3.1345,0.084,3.1597,0.5296,1.3143
2021,Chase Edmonds,ARI,25,116,1.5345,0.0431,3.569,1.3003,0.9622
2021,Alex Collins,SEA,27,108,1.6019,0.0556,2.2037,-0.4264,-1.1742
2021,Khalil Herbert,CHI,23,103,1.8058,0.0874,2.3981,0.23,0.2743
2021,Ronald Jones II,TAM,24,101,1.8416,0.0495,2.396,0.1854,-0.2015
2021,D'Ernest Johnson,CLE,25,100,2.35,0.1,2.99,0.4743,0.0204
2022,Derrick Henry,TEN,28,349,2.2894,0.1003,2.1175,-0.0776,-0.0151
2022,Josh Jacobs,LVR,24,340,2.4147,0.0912,2.4471,-0.0238,0.0761
2022,Nick Chubb,CLE,27,302,2.3013,0.0927,2.7483,0.3067,0.4227
2022,Saquon Barkley,NYG,25,295,1.9085,0.0407,2.539,-0.0452,0.0448
2022,Najee Harris,PIT,24,272,1.6801,0.0772,2.1213,-0.2493,-0.2865
2022,Dalvin Cook,MIN,27,264,1.822,0.0455,2.6212,0.1425,0.2222
2022,Jamaal Williams,DET,27,262,1.6794,0.0496,2.3893,-0.3173,-0.3444
2022,Miles Sanders,PHI,25,259,1.668,0.0502,3.2317,0.0088,0.1578
2022,Christian McCaffrey,SFO,26,159,1.7421,0.044,2.9497,-0.0893,-0.1809
2022,Ezekiel Elliott,DAL,27,231,1.5411,0.039,2.2511,-0.2229,-0.632
2022,Kenneth Walker III,SEA,22,228,1.8728,0.0526,2.7325,-0.0533,-0.1833
2022,Alvin Kamara,NOR,27,223,2.0045,0.0314,2.0179,-0.0281,0.1236
2022,Travis Etienne,JAX,23,220,1.7591,0.0636,3.3545,0.1902,0.3755
2022,Dameon Pierce,HOU,22,220,2.3,0.1227,1.9682,-0.0258,0.473
2022,Aaron Jones,GNB,28,213,2.2347,0.061,3.0282,0.3135,0.558
2022,Tyler Allgeier,ATL,22,210,2.0286,0.0238,2.9,-0.0185,0.0673
2022,Joe Mixon,CIN,26,210,1.4714,0.0381,2.4048,0.006,-0.1045
2022,Rhamondre Stevenson,NWE,24,210,2.0905,0.1143,2.8619,-0.0166,0.2546
2022,Brian Robinson Jr.,WAS,23,205,1.6585,0.039,2.2293,0.0223,0.0087
2022,Austin Ekeler,LAC,27,204,1.8922,0.0245,2.5931,0.352,0.4618
2022,D'Onta Foreman,CAR,26,203,2.0148,0.0493,2.4877,-0.1244,-0.059
2022,David Montgomery,CHI,25,201,1.9701,0.0995,2.0149,-0.3492,-0.4986
2022,Tony Pollard,DAL,25,193,2.6062,0.057,2.6114,0.1374,0.7934
2022,Jonathan Taylor,IND,23,192,1.9792,0.125,2.5052,0.123,0.2828
2022,Leonard Fournette,TAM,27,189,1.5132,0.0212,2.0212,-0.2062,-0.0516
2022,Cam Akers,LAR,23,188,2.1649,0.0691,2.016,-0.2403,0.0871
2022,AJ Dillon,GNB,24,186,1.7043,0.0323,2.4355,-0.2792,-0.5651
2022,James Conner,ARI,27,183,1.847,0.0273,2.4262,0.0876,0.1656
2022,Raheem Mostert,MIA,30,181,2.0939,0.0884,2.8287,0.157,0.3847
2022,Devin Singletary,BUF,25,177,1.5424,0.0508,3.0847,-0.1489,-0.2457
2022,Latavius Murray,DEN,32,160,1.6688,0.0313,2.725,0.27,0.1976
2022,Isiah Pacheco,KAN,23,170,1.7235,0.0235,3.1588,0.4663,0.4047
2022,Antonio Gibson,WAS,24,149,1.4765,0.0336,2.1879,-0.0191,-0.2146
2022,Cordarrelle Patterson,ATL,31,144,1.9514,0.0278,2.875,-0.0435,-0.0348
2022,Khalil Herbert,CHI,24,129,2.5349,0.0698,3.1318,0.7677,1.183
2022,Rachaad White,TAM,23,129,1.2868,0.031,2.4419,0.2145,0.1427
2022,Kareem Hunt,CLE,27,123,1.9106,0.0488,1.8943,-0.5473,-0.8221
2022,Michael Carter,NYJ,23,114,1.1579,0.0614,2.3684,-0.4541,-0.6453
